Ctoncf_pct,Calg_pct,Ca_pct,f,E_kPa
3.0,5.0,2.0,0,13.114
3.0,5.0,2.0,0.1,110.334
3.0,5.0,2.0,0.2,197.028
3.0,5.0,2.0,0.25,227.495
3.0,5.0,2.0,0.3,231.813
3.0,5.0,2.0,0.4,171.339
3.0,5.0,2.0,0.5,125.33
3.0,5.0,2.0,0.6,147.58
3.0,5.0,2.0,0.7,255.812
3.0,5.0,2.0,0.75,239.351
3.0,5.0,2.0,0.8,187.603
3.0,5.0,2.0,0.9,70.58
3.0,6.25,2.0,0,18.527
3.0,6.25,2.0,0.1,135.746
3.0,6.25,2.0,0.2,229.967
3.0,6.25,2.0,0.25,260.434
3.0,6.25,2.0,0.3,264.752
3.0,6.25,2.0,0.4,213.22
3.0,6.25,2.0,0.5,177.211
3.0,6.25,2.0,0.6,199.461
3.0,6.25,2.0,0.7,298.848
3.0,6.25,2.0,0.75,282.887
3.0,6.25,2.0,0.8,219.64
3.0,6.25,2.0,0.9,84.58
3.0,7.5,2.0,0,23.688
3.0,7.5,2.0,0.1,160.907
3.0,7.5,2.0,0.2,257.411
3.0,7.5,2.0,0.25,287.877
3.0,7.5,2.0,0.3,292.196
3.0,7.5,2.0,0.4,260.606
3.0,7.5,2.0,0.5,224.597
3.0,7.5,2.0,0.6,246.847
3.0,7.5,2.0,0.7,343.216
3.0,7.5,2.0,0.75,326.755
3.0,7.5,2.0,0.8,248.007
3.0,7.5,2.0,0.9,100.58
3.0,8.75,2.0,0,29.853
3.0,8.75,2.0,0.1,177.073
3.0,8.75,2.0,0.2,289.597
3.0,8.75,2.0,0.25,320.063
3.0,8.75,2.0,0.3,319.384
3.0,8.75,2.0,0.4,297.977
3.0,8.75,2.0,0.5,279.968
3.0,8.75,2.0,0.6,312.218
3.0,8.75,2.0,0.7,386.773
3.0,8.75,2.0,0.75,370.312
3.0,8.75,2.0,0.8,285.564
3.0,8.75,2.0,0.9,114.137
3.0,10.0,2.0,0,35.767
3.0,10.0,2.0,0.1,192.986
3.0,10.0,2.0,0.2,308.478
3.0,10.0,2.0,0.25,338.945
3.0,10.0,2.0,0.3,337.264
3.0,10.0,2.0,0.4,326.855
3.0,10.0,2.0,0.5,331.846
3.0,10.0,2.0,0.6,373.096
3.0,10.0,2.0,0.7,426.667
3.0,10.0,2.0,0.75,410.205
3.0,10.0,2.0,0.8,325.458
3.0,10.0,2.0,0.9,144.03
4.0,5.0,2.0,0.25,150.0
4.0,5.0,2.0,0.5,86.0
4.0,5.0,2.0,0.75,178.0
